Sample	Sampling	Contig	PeakStart	PeakEnd	ReadCount	ReadDepth
12-15-15	EMPIRICAL	NZ_JH724080.1	198643	199377	5	2
12-15-15	EMPIRICAL	NZ_JH724080.1	218104	218838	25	9
12-15-15	EMPIRICAL	NZ_JH724080.1	247177	247911	26	19
12-15-15	EMPIRICAL	NZ_JH724080.1	259942	260486	18	18
12-15-15	EMPIRICAL	NZ_JH724080.1	290857	291591	9	4
12-15-15	EMPIRICAL	NZ_JH724080.1	334280	335014	50	10
12-15-15	EMPIRICAL	NZ_JH724080.1	410206	410940	8	4
12-15-15	EMPIRICAL	NZ_JH724080.1	424217	424761	0	0
12-15-15	EMPIRICAL	NZ_JH724080.1	465144	465878	19	13
12-15-15	EMPIRICAL	NZ_JH724080.1	576042	576776	6	6
12-15-15	EMPIRICAL	NZ_JH724080.1	583726	584270	5	4
12-15-15	EMPIRICAL	NZ_JH724081.1	65913	66647	6	2
12-15-15	EMPIRICAL	NZ_JH724081.1	128351	129085	4	4
12-15-15	EMPIRICAL	NZ_JH724081.1	161231	161965	5	4
12-15-15	EMPIRICAL	NZ_JH724081.1	196336	196880	0	0
12-15-15	EMPIRICAL	NZ_JH724081.1	308654	309388	6	4
12-15-15	EMPIRICAL	NZ_JH724081.1	333049	333783	25	14
12-15-15	EMPIRICAL	NZ_JH724081.1	346334	347068	8	6
12-15-15	EMPIRICAL	NZ_JH724081.1	360493	361227	5	4
12-15-15	EMPIRICAL	NZ_JH724081.1	361828	362372	6	2
12-15-15	EMPIRICAL	NZ_JH724081.1	409540	410274	9	6
12-15-15	EMPIRICAL	NZ_JH724081.1	485886	486620	7	2
12-15-15	EMPIRICAL	NZ_JH724081.1	504763	505497	4	2
12-15-15	EMPIRICAL	NZ_JH724081.1	508475	509019	0	0
12-15-15	EMPIRICAL	NZ_JH724082.1	6999	7543	0	0
12-15-15	EMPIRICAL	NZ_JH724082.1	9923	10467	0	0
12-15-15	EMPIRICAL	NZ_JH724082.1	15792	16526	13	12
12-15-15	EMPIRICAL	NZ_JH724082.1	197654	198198	0	0
12-15-15	EMPIRICAL	NZ_JH724082.1	211583	212317	24	12
12-15-15	BOOTSTRAP1	NZ_JH724079.1	67578	68312	15	14
12-15-15	BOOTSTRAP1	NZ_JH724079.1	274534	275268	16	11
12-15-15	BOOTSTRAP1	NZ_JH724079.1	524767	525501	23	13
12-15-15	BOOTSTRAP1	NZ_JH724079.1	552265	552999	226	72
12-15-15	BOOTSTRAP1	NZ_JH724079.1	598995	599729	385	83
12-15-15	BOOTSTRAP1	NZ_JH724079.1	647503	648237	12	11
12-15-15	BOOTSTRAP1	NZ_JH724079.1	657177	657911	1469	1307
12-15-15	BOOTSTRAP1	NZ_JH724079.1	787220	787954	15	11
12-15-15	BOOTSTRAP1	NZ_JH724079.1	794357	795091	359	78
12-15-15	BOOTSTRAP1	NZ_JH724079.1	824145	824879	11	5
12-15-15	BOOTSTRAP1	NZ_JH724079.1	868394	869128	401	74
12-15-15	BOOTSTRAP1	NZ_JH724079.1	914721	915455	15	15
12-15-15	BOOTSTRAP1	NZ_JH724079.1	1069096	1069830	195	43
12-15-15	BOOTSTRAP1	NZ_JH724079.1	1144079	1144813	26	19
12-15-15	BOOTSTRAP1	NZ_JH724079.1	1280280	1281014	14	14
12-15-15	BOOTSTRAP1	NZ_JH724079.1	1432260	1432994	58	20
12-15-15	BOOTSTRAP1	NZ_JH724079.1	1519955	1520689	21	10
12-15-15	BOOTSTRAP1	NZ_JH724079.1	1591290	1591834	3	3
12-15-15	BOOTSTRAP1	NZ_JH724079.1	1654364	1655098	7	6
12-15-15	BOOTSTRAP1	NZ_JH724079.1	1706122	1706856	14	9
12-15-15	BOOTSTRAP1	NZ_JH724079.1	1760420	1761531	130	53
12-15-15	BOOTSTRAP1	NZ_JH724079.1	1774169	1774903	139	41
12-15-15	BOOTSTRAP1	NZ_JH724079.1	1900536	1901270	17	15
12-15-15	BOOTSTRAP1	NZ_JH724079.1	1953115	1953849	32	16
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2193257	2193991	9	9
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2201194	2201928	10	6
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2426945	2427679	76	18
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2450764	2451498	9	4
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2522236	2522970	50	16
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2612400	2613134	23	9
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2671944	2672678	10	8
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2672739	2673283	82	24
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2777994	2778819	130	80
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2800643	2802111	434	84
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2810204	2810748	0	0
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2814259	2814993	23	10
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2845458	2846192	8	8
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2914172	2914906	95	25
12-15-15	BOOTSTRAP1	NZ_JH724079.1	2965860	2966594	34	13
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3009281	3009825	7	4
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3189492	3190226	61	16
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3192465	3193199	20	13
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3229626	3230170	7	4
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3243529	3244263	191	63
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3264057	3264791	23	9
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3370840	3371894	472	105
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3423299	3424033	73	21
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3585192	3585926	11	7
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3624887	3625621	24	16
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3689041	3689775	10	7
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3690787	3691331	0	0
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3763406	3764140	43	22
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3813584	3814318	15	8
12-15-15	BOOTSTRAP1	NZ_JH724079.1	3982480	3983214	39	31
12-15-15	BOOTSTRAP1	NZ_JH724079.1	4000331	4000875	2	2
12-15-15	BOOTSTRAP1	NZ_JH724080.1	96489	97542	224	86
12-15-15	BOOTSTRAP1	NZ_JH724080.1	133931	134665	24	15
12-15-15	BOOTSTRAP1	NZ_JH724080.1	196609	197153	0	0
12-15-15	BOOTSTRAP1	NZ_JH724080.1	198643	199377	6	3
12-15-15	BOOTSTRAP1	NZ_JH724080.1	218104	218838	28	9
12-15-15	BOOTSTRAP1	NZ_JH724080.1	247177	247911	15	12
12-15-15	BOOTSTRAP1	NZ_JH724080.1	259942	260486	12	12
12-15-15	BOOTSTRAP1	NZ_JH724080.1	290857	291591	8	5
12-15-15	BOOTSTRAP1	NZ_JH724080.1	334280	335014	41	14
12-15-15	BOOTSTRAP1	NZ_JH724080.1	410206	410940	8	4
12-15-15	BOOTSTRAP1	NZ_JH724080.1	424217	424761	0	0
12-15-15	BOOTSTRAP1	NZ_JH724080.1	465144	465878	11	9
12-15-15	BOOTSTRAP1	NZ_JH724080.1	576042	576776	13	13
12-15-15	BOOTSTRAP1	NZ_JH724080.1	583726	584270	6	6
12-15-15	BOOTSTRAP1	NZ_JH724081.1	65913	66647	5	2
12-15-15	BOOTSTRAP1	NZ_JH724081.1	128351	129085	6	6
12-15-15	BOOTSTRAP1	NZ_JH724081.1	161231	161965	1	1
12-15-15	BOOTSTRAP1	NZ_JH724081.1	196336	196880	0	0
12-15-15	BOOTSTRAP1	NZ_JH724081.1	308654	309388	4	2
12-15-15	BOOTSTRAP1	NZ_JH724081.1	333049	333783	26	19
12-15-15	BOOTSTRAP1	NZ_JH724081.1	346334	347068	5	3
12-15-15	BOOTSTRAP1	NZ_JH724081.1	360493	361227	10	9
12-15-15	BOOTSTRAP1	NZ_JH724081.1	361828	362372	8	3
12-15-15	BOOTSTRAP1	NZ_JH724081.1	409540	410274	12	11
12-15-15	BOOTSTRAP1	NZ_JH724081.1	485886	486620	7	5
12-15-15	BOOTSTRAP1	NZ_JH724081.1	504763	505497	6	3
12-15-15	BOOTSTRAP1	NZ_JH724081.1	508475	509019	0	0
12-15-15	BOOTSTRAP1	NZ_JH724082.1	6999	7543	0	0
12-15-15	BOOTSTRAP1	NZ_JH724082.1	9923	10467	0	0
12-15-15	BOOTSTRAP1	NZ_JH724082.1	15792	16526	15	14
12-15-15	BOOTSTRAP1	NZ_JH724082.1	197654	198198	0	0
12-15-15	BOOTSTRAP1	NZ_JH724082.1	211583	212317	20	10
12-15-15	BOOTSTRAP2	NZ_JH724079.1	67578	68312	11	9
12-15-15	BOOTSTRAP2	NZ_JH724079.1	274534	275268	14	9
12-15-15	BOOTSTRAP2	NZ_JH724079.1	524767	525501	26	13
12-15-15	BOOTSTRAP2	NZ_JH724079.1	552265	552999	263	90
12-15-15	BOOTSTRAP2	NZ_JH724079.1	598995	599729	360	90
12-15-15	BOOTSTRAP2	NZ_JH724079.1	647503	648237	12	11
12-15-15	BOOTSTRAP2	NZ_JH724079.1	657177	657911	1403	1234
12-15-15	BOOTSTRAP2	NZ_JH724079.1	787220	787954	29	15
12-15-15	BOOTSTRAP2	NZ_JH724079.1	794357	795091	376	80
12-15-15	BOOTSTRAP2	NZ_JH724079.1	824145	824879	9	7
12-15-15	BOOTSTRAP2	NZ_JH724079.1	868394	869128	378	73
12-15-15	BOOTSTRAP2	NZ_JH724079.1	914721	915455	17	17
12-15-15	BOOTSTRAP2	NZ_JH724079.1	1069096	1069830	197	40
12-15-15	BOOTSTRAP2	NZ_JH724079.1	1144079	1144813	28	20
12-15-15	BOOTSTRAP2	NZ_JH724079.1	1280280	1281014	15	15
12-15-15	BOOTSTRAP2	NZ_JH724079.1	1432260	1432994	52	23
12-15-15	BOOTSTRAP2	NZ_JH724079.1	1519955	1520689	20	11
12-15-15	BOOTSTRAP2	NZ_JH724079.1	1591290	1591834	0	0
12-15-15	BOOTSTRAP2	NZ_JH724079.1	1654364	1655098	5	4
12-15-15	BOOTSTRAP2	NZ_JH724079.1	1706122	1706856	11	7
12-15-15	BOOTSTRAP2	NZ_JH724079.1	1760420	1761531	152	53
12-15-15	BOOTSTRAP2	NZ_JH724079.1	1774169	1774903	119	33
12-15-15	BOOTSTRAP2	NZ_JH724079.1	1900536	1901270	16	7
12-15-15	BOOTSTRAP2	NZ_JH724079.1	1953115	1953849	24	19
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2193257	2193991	11	10
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2201194	2201928	6	4
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2426945	2427679	80	20
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2450764	2451498	8	3
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2522236	2522970	41	11
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2612400	2613134	31	13
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2671944	2672678	10	6
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2672739	2673283	101	26
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2777994	2778819	113	64
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2800643	2802111	408	81
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2810204	2810748	0	0
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2814259	2814993	16	12
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2845458	2846192	9	8
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2914172	2914906	94	26
12-15-15	BOOTSTRAP2	NZ_JH724079.1	2965860	2966594	37	16
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3009281	3009825	10	4
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3189492	3190226	67	19
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3192465	3193199	20	14
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3229626	3230170	6	3
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3243529	3244263	195	59
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3264057	3264791	22	7
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3370840	3371894	457	97
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3423299	3424033	69	21
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3585192	3585926	15	8
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3624887	3625621	32	15
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3689041	3689775	16	14
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3690787	3691331	0	0
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3763406	3764140	47	23
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3813584	3814318	6	4
12-15-15	BOOTSTRAP2	NZ_JH724079.1	3982480	3983214	30	27
12-15-15	BOOTSTRAP2	NZ_JH724079.1	4000331	4000875	6	6
12-15-15	BOOTSTRAP2	NZ_JH724080.1	96489	97542	287	104
12-15-15	BOOTSTRAP2	NZ_JH724080.1	133931	134665	22	16
12-15-15	BOOTSTRAP2	NZ_JH724080.1	196609	197153	0	0
12-15-15	BOOTSTRAP2	NZ_JH724080.1	198643	199377	11	6
12-15-15	BOOTSTRAP2	NZ_JH724080.1	218104	218838	27	12
12-15-15	BOOTSTRAP2	NZ_JH724080.1	247177	247911	25	20
12-15-15	BOOTSTRAP2	NZ_JH724080.1	259942	260486	20	20
12-15-15	BOOTSTRAP2	NZ_JH724080.1	290857	291591	5	3
12-15-15	BOOTSTRAP2	NZ_JH724080.1	334280	335014	41	9
12-15-15	BOOTSTRAP2	NZ_JH724080.1	410206	410940	5	2
12-15-15	BOOTSTRAP2	NZ_JH724080.1	424217	424761	0	0
12-15-15	BOOTSTRAP2	NZ_JH724080.1	465144	465878	23	15
12-15-15	BOOTSTRAP2	NZ_JH724080.1	576042	576776	9	9
12-15-15	BOOTSTRAP2	NZ_JH724080.1	583726	584270	6	4
12-15-15	BOOTSTRAP2	NZ_JH724081.1	65913	66647	7	3
12-15-15	BOOTSTRAP2	NZ_JH724081.1	128351	129085	10	10
12-15-15	BOOTSTRAP2	NZ_JH724081.1	161231	161965	2	2
12-15-15	BOOTSTRAP2	NZ_JH724081.1	196336	196880	0	0
12-15-15	BOOTSTRAP2	NZ_JH724081.1	308654	309388	3	3
12-15-15	BOOTSTRAP2	NZ_JH724081.1	333049	333783	20	10
12-15-15	BOOTSTRAP2	NZ_JH724081.1	346334	347068	12	11
12-15-15	BOOTSTRAP2	NZ_JH724081.1	360493	361227	6	5
12-15-15	BOOTSTRAP2	NZ_JH724081.1	361828	362372	8	4
12-15-15	BOOTSTRAP2	NZ_JH724081.1	409540	410274	9	5
12-15-15	BOOTSTRAP2	NZ_JH724081.1	485886	486620	9	3
12-15-15	BOOTSTRAP2	NZ_JH724081.1	504763	505497	5	5
12-15-15	BOOTSTRAP2	NZ_JH724081.1	508475	509019	0	0
12-15-15	BOOTSTRAP2	NZ_JH724082.1	6999	7543	0	0
12-15-15	BOOTSTRAP2	NZ_JH724082.1	9923	10467	0	0
12-15-15	BOOTSTRAP2	NZ_JH724082.1	15792	16526	16	15
12-15-15	BOOTSTRAP2	NZ_JH724082.1	197654	198198	0	0
12-15-15	BOOTSTRAP2	NZ_JH724082.1	211583	212317	29	14
12-15-15	BOOTSTRAP3	NZ_JH724079.1	67578	68312	10	8
12-15-15	BOOTSTRAP3	NZ_JH724079.1	274534	275268	16	8
12-15-15	BOOTSTRAP3	NZ_JH724079.1	524767	525501	27	15
12-15-15	BOOTSTRAP3	NZ_JH724079.1	552265	552999	239	82
12-15-15	BOOTSTRAP3	NZ_JH724079.1	598995	599729	384	83
12-15-15	BOOTSTRAP3	NZ_JH724079.1	647503	648237	12	10
12-15-15	BOOTSTRAP3	NZ_JH724079.1	657177	657911	1454	1287
12-15-15	BOOTSTRAP3	NZ_JH724079.1	787220	787954	19	17
12-15-15	BOOTSTRAP3	NZ_JH724079.1	794357	795091	371	89
12-15-15	BOOTSTRAP3	NZ_JH724079.1	824145	824879	8	5
12-15-15	BOOTSTRAP3	NZ_JH724079.1	868394	869128	383	63
12-15-15	BOOTSTRAP3	NZ_JH724079.1	914721	915455	25	25
12-15-15	BOOTSTRAP3	NZ_JH724079.1	1069096	1069830	229	58
12-15-15	BOOTSTRAP3	NZ_JH724079.1	1144079	1144813	32	24
12-15-15	BOOTSTRAP3	NZ_JH724079.1	1280280	1281014	8	8
12-15-15	BOOTSTRAP3	NZ_JH724079.1	1432260	1432994	70	32
12-15-15	BOOTSTRAP3	NZ_JH724079.1	1519955	1520689	24	16
12-15-15	BOOTSTRAP3	NZ_JH724079.1	1591290	1591834	1	1
12-15-15	BOOTSTRAP3	NZ_JH724079.1	1654364	1655098	8	6
12-15-15	BOOTSTRAP3	NZ_JH724079.1	1706122	1706856	18	14
12-15-15	BOOTSTRAP3	NZ_JH724079.1	1760420	1761531	128	49
12-15-15	BOOTSTRAP3	NZ_JH724079.1	1774169	1774903	112	25
12-15-15	BOOTSTRAP3	NZ_JH724079.1	1900536	1901270	18	13
12-15-15	BOOTSTRAP3	NZ_JH724079.1	1953115	1953849	30	16
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2193257	2193991	14	13
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2201194	2201928	4	2
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2426945	2427679	81	21
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2450764	2451498	12	8
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2522236	2522970	38	11
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2612400	2613134	28	12
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2671944	2672678	9	6
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2672739	2673283	94	25
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2777994	2778819	131	72
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2800643	2802111	421	79
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2810204	2810748	0	0
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2814259	2814993	24	11
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2845458	2846192	11	9
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2914172	2914906	113	30
12-15-15	BOOTSTRAP3	NZ_JH724079.1	2965860	2966594	36	14
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3009281	3009825	7	4
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3189492	3190226	48	19
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3192465	3193199	15	10
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3229626	3230170	5	2
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3243529	3244263	174	55
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3264057	3264791	21	8
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3370840	3371894	444	96
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3423299	3424033	69	23
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3585192	3585926	12	6
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3624887	3625621	16	7
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3689041	3689775	7	6
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3690787	3691331	0	0
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3763406	3764140	42	18
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3813584	3814318	3	2
12-15-15	BOOTSTRAP3	NZ_JH724079.1	3982480	3983214	57	50
12-15-15	BOOTSTRAP3	NZ_JH724079.1	4000331	4000875	0	0
12-15-15	BOOTSTRAP3	NZ_JH724080.1	96489	97542	278	102
12-15-15	BOOTSTRAP3	NZ_JH724080.1	133931	134665	15	9
12-15-15	BOOTSTRAP3	NZ_JH724080.1	196609	197153	1	1
12-15-15	BOOTSTRAP3	NZ_JH724080.1	198643	199377	2	1
12-15-15	BOOTSTRAP3	NZ_JH724080.1	218104	218838	27	8
12-15-15	BOOTSTRAP3	NZ_JH724080.1	247177	247911	20	15
12-15-15	BOOTSTRAP3	NZ_JH724080.1	259942	260486	17	17
12-15-15	BOOTSTRAP3	NZ_JH724080.1	290857	291591	8	4
12-15-15	BOOTSTRAP3	NZ_JH724080.1	334280	335014	61	15
12-15-15	BOOTSTRAP3	NZ_JH724080.1	410206	410940	4	4
12-15-15	BOOTSTRAP3	NZ_JH724080.1	424217	424761	0	0
12-15-15	BOOTSTRAP3	NZ_JH724080.1	465144	465878	19	15
12-15-15	BOOTSTRAP3	NZ_JH724080.1	576042	576776	4	4
12-15-15	BOOTSTRAP3	NZ_JH724080.1	583726	584270	9	7
12-15-15	BOOTSTRAP3	NZ_JH724081.1	65913	66647	2	1
12-15-15	BOOTSTRAP3	NZ_JH724081.1	128351	129085	2	2
12-15-15	BOOTSTRAP3	NZ_JH724081.1	161231	161965	6	5
12-15-15	BOOTSTRAP3	NZ_JH724081.1	196336	196880	0	0
12-15-15	BOOTSTRAP3	NZ_JH724081.1	308654	309388	5	2
12-15-15	BOOTSTRAP3	NZ_JH724081.1	333049	333783	29	13
12-15-15	BOOTSTRAP3	NZ_JH724081.1	346334	347068	3	3
12-15-15	BOOTSTRAP3	NZ_JH724081.1	360493	361227	4	4
12-15-15	BOOTSTRAP3	NZ_JH724081.1	361828	362372	6	2
12-15-15	BOOTSTRAP3	NZ_JH724081.1	409540	410274	9	6
12-15-15	BOOTSTRAP3	NZ_JH724081.1	485886	486620	10	4
12-15-15	BOOTSTRAP3	NZ_JH724081.1	504763	505497	3	2
12-15-15	BOOTSTRAP3	NZ_JH724081.1	508475	509019	0	0
12-15-15	BOOTSTRAP3	NZ_JH724082.1	6999	7543	0	0
12-15-15	BOOTSTRAP3	NZ_JH724082.1	9923	10467	0	0
12-15-15	BOOTSTRAP3	NZ_JH724082.1	15792	16526	15	14
12-15-15	BOOTSTRAP3	NZ_JH724082.1	197654	198198	0	0
12-15-15	BOOTSTRAP3	NZ_JH724082.1	211583	212317	22	12
12-15-15	BOOTSTRAP4	NZ_JH724079.1	67578	68312	8	7
12-15-15	BOOTSTRAP4	NZ_JH724079.1	274534	275268	19	12
12-15-15	BOOTSTRAP4	NZ_JH724079.1	524767	525501	20	10
12-15-15	BOOTSTRAP4	NZ_JH724079.1	552265	552999	269	90
12-15-15	BOOTSTRAP4	NZ_JH724079.1	598995	599729	375	90
12-15-15	BOOTSTRAP4	NZ_JH724079.1	647503	648237	9	9
12-15-15	BOOTSTRAP4	NZ_JH724079.1	657177	657911	1478	1287
12-15-15	BOOTSTRAP4	NZ_JH724079.1	787220	787954	22	14
12-15-15	BOOTSTRAP4	NZ_JH724079.1	794357	795091	402	83
12-15-15	BOOTSTRAP4	NZ_JH724079.1	824145	824879	15	10
12-15-15	BOOTSTRAP4	NZ_JH724079.1	868394	869128	359	67
12-15-15	BOOTSTRAP4	NZ_JH724079.1	914721	915455	19	19
12-15-15	BOOTSTRAP4	NZ_JH724079.1	1069096	1069830	219	47
